Geo_Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.876272701683305, 2.3580579070747385;"{""coordinates"": [2.358057907074739, 48.876272701683305], ""type"": ""Point""}";315;Gare de l'Est;Gare de l'Est;;;71359;Gare de l'Est;43138;Gare de l'Est;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;METRO 7;7;METRO 7;RATP;1;1;652916.6087;6864219.203;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Gare de l'Est
48.843781304815, 2.3243970123857944;"{""coordinates"": [2.324397012385794, 48.843781304815], ""type"": ""Point""}";564;Montparnasse-Bienvenüe;Montparnasse-Bienvenüe;;;71139;Gare Montparnasse;58578;Montparnasse Bienvenue;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01537;C01374;METRO 4;4;METRO 4;RATP;1;1;650416.8898;6860627.04;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Montparnasse-Bienvenüe
48.88468097280708, 2.3426600373363518;"{""coordinates"": [2.342660037336352, 48.88468097280708], ""type"": ""Point""}";1017;Funiculaire Montmartre Station Basse;Funiculaire Montmartre Station Basse;;;73849;Funiculaire de Montmartre - Gare basse;45559;Funiculaire de Montmartre - Gare basse;0;VAL;0;0;0;0;0;1;1;0;0;0;0;0;FUNICULAIRE MONTMART;FUNICULAIRE MONTMART;A01548;C01385;FUNICULAIRE MONTMARTRE;FUN;FUNICULAIRE MONTMARTRE;RATP;1;0;651795.0575;6865163.44;;Funiculaire Montmartre Station Basse
48.89545467213198, 2.4253268901662555;"{""coordinates"": [2.425326890166255, 48.89545467213198], ""type"": ""Point""}";80;Bobigny-Pantin - Raymond Queneau;Bobigny-Pantin - Raymond Queneau;;;72039;Bobigny - Pantin - Raymond Queneau;42344;Bobigny-Pantin - Raymond Queneau;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;C01375;METRO 5;5;METRO 5;RATP;1;0;657865.899;6866314.133;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;Bobigny-Pantin - Raymond Queneau
48.90609404932792, 2.3318308379624098;"{""coordinates"": [2.33183083796241, 48.90609404932792], ""type"": ""Point""}";323;Garibaldi;Garibaldi;;;72128;Garibaldi;43252;Garibaldi;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01546;C01383;METRO 13;13;METRO 13;RATP;1;0;651021.0832;6867551.131;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;Garibaldi
48.880946562639984, 2.3649934724001818;"{""coordinates"": [2.364993472400182, 48.880946562639984], ""type"": ""Point""}";476;Louis Blanc;Louis Blanc;;;71407;Louis Blanc;43823;Louis Blanc;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;METRO 7;7;METRO 7;RATP;1;0;653429.4678;6864734.793;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Louis Blanc
48.80914436091449, 2.43450989592394;"{""coordinates"": [2.43450989592394, 48.80914436091449], ""type"": ""Point""}";500;Maisons-Alfort-Stade;Maisons-Alfort-Stade;;;70426;Maisons-Alfort - Stade;44066;Maisons-Alfort - Stade;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;C01378;METRO 8;8;METRO 8;RATP;1;0;658470.4404;6856712.278;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;Maisons-Alfort-Stade
48.86460037245484, 2.408031037075815;"{""coordinates"": [2.408031037075815, 48.86460037245484], ""type"": ""Point""}";684;Porte de Bagnolet;Porte de Bagnolet;;;71799;Porte de Bagnolet;44510;Porte de Bagnolet;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;C01373;METRO 3;3;METRO 3;RATP;1;0;656572.0977;6862892.68;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Porte de Bagnolet
48.869798555539916, 2.2853350946861695;"{""coordinates"": [2.285335094686169, 48.869798555539916], ""type"": ""Point""}";892;Victor Hugo;Victor Hugo;;;71315;Victor Hugo;45020;Victor Hugo;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01535;C01372;METRO 2;2;METRO 2;RATP;1;0;647576.3599;6863545.148;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1;Victor Hugo
48.804688119990445, 2.363953196602165;"{""coordinates"": [2.363953196602165, 48.804688119990445], ""type"": ""Point""}";896;Villejuif - Léo Lagrange;Villejuif - Léo Lagrange;;;70375;Villejuif Léo Lagrange;47826;Villejuif Léo Lagrange;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;METRO 7;7;METRO 7;RATP;1;0;653284.8753;6856256.228;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Villejuif - Léo Lagrange
48.84520470266033, 2.266441541719401;"{""coordinates"": [2.266441541719401, 48.84520470266033], ""type"": ""Point""}";149;Chardon Lagache;Chardon Lagache;;;71141;Chardon Lagache;42543;Chardon Lagache;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;C01380;METRO 10;10;METRO 10;RATP;1;0;646165.0736;6860823.259;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049;Chardon Lagache
48.877100184877875, 2.3487755574768467;"{""coordinates"": [2.348775557476847, 48.877100184877875], ""type"": ""Point""}";659;Poissonnière;Poissonnière;;;71363;Poissonnière;45165;Poissonnière;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01540;C01377;METRO 7;7;METRO 7;RATP;1;0;652236.5668;6864316.788;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;Poissonnière
48.87146657721511, 2.2770830184157247;"{""coordinates"": [2.277083018415725, 48.87146657721511], ""type"": ""Point""}";682;Porte Dauphine;Porte Dauphine;;;474152;Porte Dauphine;44509;Porte Dauphine;0;METRO;0;0;0;1;0;0;0;0;0;0;METRO 2;0;0;0;A01535;C01372;METRO 2;2;METRO 2;RATP;1;0;646972.7507;6863736.128;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1;Porte Dauphine
48.84797154057619, 2.2577446803632033;"{""coordinates"": [2.257744680363203, 48.84797154057619], ""type"": ""Point""}";683;Porte d'Auteuil;Porte d'Auteuil;;;71169;Porte d'Auteuil;44504;Porte d'Auteuil;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;C01380;METRO 10;10;METRO 10;RATP;1;0;645529.7326;6861136.866;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049;Porte d'Auteuil
48.84648464964935, 2.3659101068529793;"{""coordinates"": [2.365910106852979, 48.84648464964935], ""type"": ""Point""}";718;Quai de la Rapée;Quai de la Rapée;;;71637;Quai de la Rapée;44583;Quai de la Rapée;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;C01375;METRO 5;5;METRO 5;RATP;1;0;653465.9193;6860902.359;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;Quai de la Rapée
48.87633026403884, 2.3331088937605435;"{""coordinates"": [2.333108893760544, 48.87633026403884], ""type"": ""Point""}";861;Trinité d'Estienne d'Orves;Trinité d'Estienne d'Orves;;;71355;Trinité d'Estienne d'Orves;45170;Trinité d'Estienne d'Orves;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;C01382;METRO 12;12;METRO 12;RATP;1;0;651086.8143;6864240.769;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49;Trinité d'Estienne d'Orves
48.86434377781312, 2.330129877112861;"{""coordinates"": [2.330129877112861, 48.86434377781312], ""type"": ""Point""}";864;Tuileries;Tuileries;;;71284;Tuileries;45664;Tuileries;0;METRO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01534;C01371;METRO 1;1;METRO 1;RATP;1;0;650857.0163;6862909.812;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;Tuileries
